captured_at_utc,phase,measurement_active,system_used_bytes,process_tree_rss_bytes,gpu_index,gpu_uuid,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w,sm_clock_mhz,memory_clock_mhz
2026-09-07T21:15:22.813296+00:00,measured_67108864,True,3068592128,3110592512,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,57.0,45.51,1590.0,5000.0
2026-09-07T21:15:22.813296+00:00,measured_67108864,True,3068592128,3110592512,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.85,1590.0,5000.0
2026-09-07T21:15:23.128150+00:00,measured_67108864,True,3073921024,3110592512,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,58.0,45.93,1590.0,5000.0
2026-09-07T21:15:23.128150+00:00,measured_67108864,True,3073921024,3110592512,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.46,1590.0,5000.0
2026-09-07T21:15:23.444926+00:00,between_repetitions_67108864,False,3082997760,3110662144,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,97.0,58.0,42.02,1590.0,5000.0
2026-09-07T21:15:23.444926+00:00,between_repetitions_67108864,False,3082997760,3110662144,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,97.0,58.0,44.36,1590.0,5000.0
2026-09-07T21:15:23.744184+00:00,complete,False,3099164672,3037712384,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,15.0,57.0,37.53,1590.0,5000.0
2026-09-07T21:15:23.744184+00:00,complete,False,3099164672,3037712384,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,0.0,58.0,36.55,1590.0,5000.0
2026-09-07T21:15:24.041302+00:00,complete,False,3038838784,2957795328,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,319.0,15360.0,0.0,57.0,37.43,1590.0,5000.0
2026-09-07T21:15:24.041302+00:00,complete,False,3038838784,2957795328,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,319.0,15360.0,0.0,58.0,36.65,1590.0,5000.0
2026-09-07T21:15:24.343916+00:00,complete,False,2106650624,1115926528,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,57.0,37.83,1590.0,5000.0
2026-09-07T21:15:24.343916+00:00,complete,False,2106650624,1115926528,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,58.0,39.97,1590.0,5000.0
2026-09-07T21:15:24.642349+00:00,complete,False,2004971520,1128861696,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,57.0,37.63,1590.0,5000.0
2026-09-07T21:15:24.642349+00:00,complete,False,2004971520,1128861696,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,4.0,58.0,36.47,1590.0,5000.0
2026-09-07T21:15:24.944156+00:00,complete,False,1780330496,643170304,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,57.0,37.53,1590.0,5000.0
2026-09-07T21:15:24.944156+00:00,complete,False,1780330496,643170304,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,58.0,36.45,1590.0,5000.0
2026-09-07T21:15:25.244583+00:00,complete,False,1883959296,935677952,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,57.0,29.89,615.0,5000.0
2026-09-07T21:15:25.244583+00:00,complete,False,1883959296,935677952,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,58.0,36.57,1590.0,5000.0
2026-09-07T21:15:25.547090+00:00,complete,False,1913716736,1031397376,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,56.0,29.2,375.0,5000.0
2026-09-07T21:15:25.547090+00:00,complete,False,1913716736,1031397376,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,57.0,28.82,585.0,5000.0
2026-09-07T21:15:25.853859+00:00,complete,False,1927356416,1061625856,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,56.0,29.2,375.0,5000.0
2026-09-07T21:15:25.853859+00:00,complete,False,1927356416,1061625856,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,57.0,28.62,375.0,5000.0
2026-09-07T21:15:26.163533+00:00,complete,False,1944702976,1077440512,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,56.0,29.1,375.0,5000.0
2026-09-07T21:15:26.163533+00:00,complete,False,1944702976,1077440512,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,57.0,28.62,375.0,5000.0
2026-09-07T21:15:26.473037+00:00,complete,False,1961439232,1091547136,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,55.0,15.01,375.0,405.0
2026-09-07T21:15:26.473037+00:00,complete,False,1961439232,1091547136,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,56.0,14.91,375.0,405.0
2026-09-07T21:15:26.798261+00:00,complete,False,1962143744,1116237824,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,55.0,15.01,375.0,405.0
2026-09-07T21:15:26.798261+00:00,complete,False,1962143744,1116237824,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,56.0,14.82,375.0,405.0
2026-09-07T21:15:27.123430+00:00,complete,False,1957777408,1143468032,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,55.0,15.01,375.0,405.0
2026-09-07T21:15:27.123430+00:00,complete,False,1957777408,1143468032,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,56.0,14.82,375.0,405.0
2026-09-07T21:15:27.453597+00:00,complete,False,2098327552,1767940096,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,54.0,10.55,300.0,405.0
2026-09-07T21:15:27.453597+00:00,complete,False,2098327552,1767940096,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.65,300.0,405.0
2026-09-07T21:15:27.784505+00:00,complete,False,2225201152,2039570432,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,54.0,10.75,300.0,405.0
2026-09-07T21:15:27.784505+00:00,complete,False,2225201152,2039570432,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.75,300.0,405.0
2026-09-07T21:15:28.119449+00:00,complete,False,2264891392,2111496192,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,54.0,10.55,300.0,405.0
2026-09-07T21:15:28.119449+00:00,complete,False,2264891392,2111496192,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.46,300.0,405.0
2026-09-07T21:15:28.453487+00:00,complete,False,2305253376,2147717120,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,54.0,10.55,300.0,405.0
2026-09-07T21:15:28.453487+00:00,complete,False,2305253376,2147717120,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.46,300.0,405.0
2026-09-07T21:15:28.784716+00:00,complete,False,2347716608,2174828544,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,3.0,15360.0,0.0,54.0,11.05,300.0,405.0
2026-09-07T21:15:28.784716+00:00,complete,False,2347716608,2174828544,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.75,300.0,405.0
2026-09-07T21:15:29.116647+00:00,complete,False,2446757888,2276073472,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,13.0,15360.0,0.0,55.0,29.59,585.0,5000.0
2026-09-07T21:15:29.116647+00:00,complete,False,2446757888,2276073472,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,3.0,15360.0,0.0,55.0,10.95,300.0,405.0
2026-09-07T21:15:29.517326+00:00,warmup_1024,False,2621550592,2537312256,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,123.0,15360.0,5.0,56.0,29.3,705.0,5000.0
2026-09-07T21:15:29.517326+00:00,warmup_1024,False,2621550592,2537312256,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,123.0,15360.0,3.0,57.0,29.4,840.0,5000.0
2026-09-07T21:15:29.830915+00:00,warmup_1024,False,2869215232,2838540288,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,205.0,15360.0,3.0,56.0,29.3,585.0,5000.0
2026-09-07T21:15:29.830915+00:00,warmup_1024,False,2869215232,2838540288,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,205.0,15360.0,2.0,57.0,29.12,840.0,5000.0
2026-09-07T21:15:30.162248+00:00,measured_262144,True,3027693568,3111092224,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,207.0,15360.0,4.0,56.0,29.89,585.0,5000.0
2026-09-07T21:15:30.162248+00:00,measured_262144,True,3027693568,3111092224,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,207.0,15360.0,14.0,57.0,29.99,840.0,5000.0
2026-09-07T21:15:30.473768+00:00,warmup_16777216,False,3045679104,3111309312,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,243.0,15360.0,79.0,56.0,34.79,1155.0,5000.0
2026-09-07T21:15:30.473768+00:00,warmup_16777216,False,3045679104,3111309312,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,243.0,15360.0,89.0,58.0,34.81,1590.0,5000.0
2026-09-07T21:15:30.784936+00:00,measured_16777216,True,3061932032,3111317504,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,243.0,15360.0,95.0,57.0,45.24,1590.0,5000.0
