model_id,model_revision,workload,concurrency,tp,repetitions,maximum_vram_mib_mean,maximum_system_ram_bytes_mean,gpu_utilization_percent_mean,mean_power_w,maximum_temperature_c_mean,request_failures_mean,oom_repetitions,resource_boundary_repetitions
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,32,1,5,13673.4,4819725516.8,69.35592241597415,52.00812446558639,81.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,32,2,5,13723.0,7472947200.0,47.93182013272987,42.50784282626248,81.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,64,1,5,13673.0,4771864576.0,79.16824529756644,56.43716851514639,81.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,64,2,5,13723.0,7474773196.8,59.62892630706165,48.018783196402985,81.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,1,1,5,13673.0,4964815667.2,65.60349521865584,49.28363983968113,81.2,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,1,2,5,13723.0,7485545676.8,46.762836619809754,47.13344949117571,82.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,4,1,5,13673.0,4847366963.2,59.203370008478394,46.42916822766806,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,4,2,5,13723.0,7427719168.0,37.2529352062444,39.6016113752623,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,8,1,5,13673.0,4739393126.4,62.229705657817604,47.40797123941188,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,8,2,5,13723.0,7436294553.6,39.215995823136595,39.00094040975072,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,16,1,5,13675.0,4765155328.0,75.29054793204286,52.545475295520966,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,16,2,5,13725.0,7445628518.4,53.35583931696992,44.847038170340525,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,32,1,5,13675.0,4680597504.0,86.27714588964312,57.530278591448585,82.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,32,2,5,13723.0,7475905331.2,69.0396728501575,52.00190615339062,81.4,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,64,1,5,13675.0,4729821593.6,92.55458496650185,60.26347913060185,82.2,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,64,2,5,13725.0,7514353664.0,81.11934478714734,57.43482200385638,82.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,1,1,5,13611.0,5186288025.6,43.68395813469469,38.29231756695124,75.4,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,1,2,5,13725.0,7546365542.4,29.65797999972973,37.361719393136866,80.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,4,1,5,13611.0,4760509644.8,20.70900940963021,29.89475219415856,74.4,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,4,2,5,13725.0,7482376192.0,15.618566062688583,28.339578020797127,75.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,8,1,5,13611.0,4797978214.4,17.6211689978906,28.812572015185445,75.2,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,8,2,5,13724.6,7453482188.8,12.281968455493418,26.563275228373413,75.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,16,1,5,13673.0,4738839347.2,21.030213458695247,30.95758405781705,75.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,16,2,5,13725.0,7473273241.6,13.747353875735413,27.930435524685038,76.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,32,1,5,13675.0,4935409664.0,27.554655216027633,33.377185550862414,77.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,32,2,5,13725.0,7498579968.0,16.215709006209995,28.829222035972332,78.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,64,1,5,13675.0,4798722048.0,35.85098637405713,37.81291541678049,81.2,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,64,2,5,13725.0,7495063142.4,19.88204971572619,28.952266057188798,80.0,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,1,1,5,13597.0,5771726848.0,62.81839270235383,53.30660487085402,80.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,1,2,5,13737.0,7747490611.2,52.70107176206585,48.807686036239694,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,4,1,5,13597.0,5259911168.0,56.248757456185885,46.574617332922834,81.0,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,4,2,5,13737.0,7714511257.6,41.45513048224426,40.83955661937761,81.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,8,1,5,13661.0,5257129164.8,53.656591015908454,44.807283507635624,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,8,2,5,13737.0,7698667929.6,37.36395282348861,39.60648660921801,81.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,16,1,5,13661.0,5255659520.0,62.222792976937626,48.59547177575977,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,16,2,5,13737.0,7713520844.8,41.73251775890089,42.41584869587748,81.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,32,1,5,13661.4,5274014515.2,72.27744685604216,52.91080441571696,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,32,2,5,13738.2,7733805875.2,51.164976852177354,45.26000299509789,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,64,1,5,13663.0,5269843148.8,81.3045459729809,57.060584641830545,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,64,2,5,13737.0,7724626739.2,63.13866256708044,49.37080905152513,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,1,1,5,13661.0,5641555968.0,65.37982396879282,49.99134825979024,80.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,1,2,5,13737.0,7696760832.0,49.86197966917887,46.820175584724915,81.0,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,4,1,5,13661.0,5225249996.8,61.87784491866982,46.85966965980755,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,4,2,5,13737.0,7658148659.2,41.05276441285032,41.15576623233897,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,8,1,5,13661.0,5202568806.4,64.83093274711061,48.006015955297485,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,8,2,5,13737.0,7654153420.8,42.675230646543774,40.915654694121905,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,16,1,5,13661.0,5218744729.6,77.03853613524603,53.24987919387879,81.2,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,16,2,5,13739.0,7677715251.2,56.443569847762966,46.27959922354121,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,32,1,5,13663.0,5223768064.0,87.28207867444202,57.88215359177586,81.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,32,2,5,13737.0,7697278566.4,70.8713600920692,52.77256134537795,81.2,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,64,1,5,13663.0,5221330944.0,93.08268514234007,61.008362712597204,81.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,64,2,5,13739.0,7740567552.0,82.571150137214,58.09888056853238,81.2,0.0,0,0
