model_id,model_revision,workload,concurrency,repetitions,paired_performance_repetitions,tp1_output_tokens_per_second,tp2_output_tokens_per_second,tp2_over_tp1_speedup,tp1_ttft_ms,tp2_ttft_ms,tp1_tpot_ms,tp2_tpot_ms,tp1_itl_ms,tp2_itl_ms,tp1_e2e_latency_ms,tp2_e2e_latency_ms,tp1_maximum_vram_mib,tp2_maximum_vram_mib,tp1_gpu_utilization_percent,tp2_gpu_utilization_percent,tp1_oom_repetitions,tp2_oom_repetitions,tp1_failed_repetitions,tp2_failed_repetitions,tp1_resource_boundary_repetitions,tp2_resource_boundary_repetitions,classifications
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,32,5,5,72.48794065646923,127.00037646673766,1.753532074607752,12059.379656479174,6585.614461368734,347.9871593153051,199.046575062008,350.0679628511822,200.3087563150554,56253.74888952293,31864.52949424375,13733.0,13797.0,80.15450505339292,60.37985872036445,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,64,5,0,75.86644677125827,,,20156.791922310407,,684.5842239995163,,688.9504654982202,,107098.98837024898,,14253.0,14895.0,88.6460390576649,27.8203564732493,0,0,0,5,0,5,RESOURCE_BOUNDARY_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,1,5,5,26.745085889405704,14.957433950758366,0.5596061080780902,79.61993845002098,75.44035587998223,36.710988739841575,66.73592626238056,36.72171632265224,66.73352190936501,2392.4122290600403,4279.8037104099585,13645.0,13753.0,24.112031123703296,30.459306558080293,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,4,5,5,100.59720486808024,57.48935120786433,0.5715172881085884,171.43312306000553,207.8477414400095,37.230455181746166,66.9454652711113,37.22530451777784,66.94264702365072,2516.9517995100136,4425.412053520022,13647.0,13753.0,18.98223359380605,17.129970354889295,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,8,5,5,186.5182477064303,115.16358483999372,0.6171909634462606,318.78101072500726,267.6862015583538,37.754730645899016,65.652181083201,37.7456822425923,65.6488620703703,2697.3290414166454,4403.773609800017,13647.0,13753.4,16.461538320562827,13.595644680013596,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,16,5,5,334.1351954429136,215.72447269100536,0.645987440955124,604.5665700416673,441.143115612483,38.36402221653454,67.47682081421972,38.34401194867729,67.46825984417988,3021.4999696833434,4692.182826908325,13729.0,13795.0,18.13451911251857,14.523506216310812,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,32,5,5,496.10790143042084,399.10195029870204,0.8051742572785894,907.0246778604244,640.1096302916642,50.24685962645496,70.35141537595912,50.232726962962886,70.33604389732143,4072.5768343270875,5072.248798977088,13733.0,13797.0,24.51289465273206,17.055530270890138,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,64,5,5,674.7249214180298,691.4494457698569,1.0271217548765632,1486.986367106246,961.8376195718804,71.66380496593919,77.31617869669311,71.64853966157416,77.29747961924606,6001.806079960415,5832.7568774635465,13809.4,14108.2,31.776794106689447,19.970895016590326,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,1,5,5,24.692790326854354,19.766795676600488,0.8845315432499967,233.76585643999647,155.7386906499869,44.42102594533326,50.20972970282353,44.42626254510896,50.213161262194674,11561.127472499978,12959.21976486999,13609.0,13723.0,71.35142188879982,50.30802349725197,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,4,5,5,94.74617156975253,73.81472020900061,0.779635501486999,680.1326914500055,462.5794734600231,39.62191102992149,52.54299023607844,39.61974317111121,52.54303936026646,10783.720004079987,13861.041983660025,13659.0,13723.0,53.39259169250221,36.640324313079354,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
